Metropolitan Statistical Areas,2018.00
"Abilene, TX",43585.00
"Akron, OH",49556.00
"Albany, GA",38034.00
"Albany-Lebanon, OR",43327.00
"Albany-Schenectady-Troy, NY",58443.00
"Albuquerque, NM",42469.00
"Alexandria, LA",43015.00
"Allentown-Bethlehem-Easton, PA-NJ",53538.00
"Altoona, PA",46539.00
"Amarillo, TX",46374.00
"Ames, IA",43785.00
"Anchorage, AK",61825.00
"Ann Arbor, MI",58823.00
"Anniston-Oxford, AL",36988.00
"Appleton, WI",51042.00
"Asheville, NC",45759.00
"Athens-Clarke County, GA",40692.00
"Atlanta-Sandy Springs-Alpharetta, GA",53188.00
"Atlantic City-Hammonton, NJ",48548.00
"Auburn-Opelika, AL",38378.00
"Augusta-Richmond County, GA-SC",42075.00
"Austin-Round Rock-Georgetown, TX",59638.00
"Bakersfield, CA",39794.00
"Baltimore-Columbia-Towson, MD",62013.00
"Bangor, ME",41615.00
"Barnstable Town, MA",74714.00
"Baton Rouge, LA",48159.00
"Battle Creek, MI",39160.00
"Bay City, MI",42367.00
"Beaumont-Port Arthur, TX",44138.00
"Beckley, WV",39312.00
"Bellingham, WA",49464.00
"Bend, OR",55612.00
"Billings, MT",52502.00
"Binghamton, NY",44427.00
"Birmingham-Hoover, AL",51723.00
"Bismarck, ND",56743.00
"Blacksburg-Christiansburg, VA",38421.00
"Bloomington, IL",49236.00
"Bloomington, IN",41888.00
"Bloomsburg-Berwick, PA",45625.00
"Boise City, ID",46664.00
"Boston-Cambridge-Newton, MA-NH",78923.00
"Boulder, CO",73518.00
"Bowling Green, KY",36186.00
"Bremerton-Silverdale-Port Orchard, WA",56297.00
"Bridgeport-Stamford-Norwalk, CT",117432.00
"Brownsville-Harlingen, TX",28940.00
"Brunswick, GA",41967.00
"Buffalo-Cheektowaga, NY",50261.00
"Burlington, NC",39940.00
"Burlington-South Burlington, VT",57041.00
"California-Lexington Park, MD",56815.00
"Canton-Massillon, OH",44670.00
"Cape Coral-Fort Myers, FL",51093.00
"Cape Girardeau, MO-IL",42894.00
"Carbondale-Marion, IL",40476.00
"Carson City, NV",50797.00
"Casper, WY",71324.00
"Cedar Rapids, IA",52261.00
"Chambersburg-Waynesboro, PA",46298.00
"Champaign-Urbana, IL",45331.00
"Charleston, WV",44198.00
"Charleston-North Charleston, SC",51202.00
"Charlotte-Concord-Gastonia, NC-SC",52295.00
"Charlottesville, VA",67735.00
"Chattanooga, TN-GA",46055.00
"Cheyenne, WY",52655.00
"Chicago-Naperville-Elgin, IL-IN-WI",61642.00
"Chico, CA",44576.00
"Cincinnati, OH-KY-IN",54055.00
"Clarksville, TN-KY",40488.00
"Cleveland, TN",38594.00
"Cleveland-Elyria, OH",53770.00
"Coeur d'Alene, ID",45409.00
"College Station-Bryan, TX",40498.00
"Colorado Springs, CO",49007.00
"Columbia, MO",45512.00
"Columbia, SC",44915.00
"Columbus, GA-AL",40980.00
"Columbus, IN",51234.00
"Columbus, OH",51114.00
"Corpus Christi, TX",43677.00
"Corvallis, OR",47070.00
"Crestview-Fort Walton Beach-Destin, FL",53010.00
"Cumberland, MD-WV",39757.00
"Dallas-Fort Worth-Arlington, TX",56864.00
"Dalton, GA",36697.00
"Danville, IL",39177.00
"Daphne-Fairhope-Foley, AL",46205.00
"Davenport-Moline-Rock Island, IA-IL",49118.00
"Dayton-Kettering, OH",47801.00
"Decatur, AL",38894.00
"Decatur, IL",48206.00
"Deltona-Daytona Beach-Ormond Beach, FL",43467.00
"Denver-Aurora-Lakewood, CO",64690.00
"Des Moines-West Des Moines, IA",53884.00
"Detroit-Warren-Dearborn, MI",52572.00
"Dothan, AL",41761.00
"Dover, DE",41638.00
"Dubuque, IA",50120.00
"Duluth, MN-WI",46004.00
"Durham-Chapel Hill, NC",52727.00
"East Stroudsburg, PA",42267.00
"Eau Claire, WI",47600.00
"El Centro, CA",37587.00
"Elizabethtown-Fort Knox, KY",41460.00
"Elkhart-Goshen, IN",46354.00
"Elmira, NY",44510.00
"El Paso, TX",36279.00
"Enid, OK",43667.00
"Erie, PA",45038.00
"Eugene-Springfield, OR",46124.00
"Evansville, IN-KY",47067.00
"Fairbanks, AK",57720.00
"Fargo, ND-MN",53315.00
"Farmington, NM",35278.00
"Fayetteville, NC",36874.00
"Fayetteville-Springdale-Rogers, AR",66909.00
"Flagstaff, AZ",48870.00
"Flint, MI",40618.00
"Florence, SC",40598.00
"Florence-Muscle Shoals, AL",37797.00
"Fond du Lac, WI",48311.00
"Fort Collins, CO",54207.00
"Fort Smith, AR-OK",37120.00
"Fort Wayne, IN",46478.00
"Fresno, CA",43438.00
"Gadsden, AL",37245.00
"Gainesville, FL",43291.00
"Gainesville, GA",44442.00
"Gettysburg, PA",48379.00
"Glens Falls, NY",46633.00
"Goldsboro, NC",38425.00
"Grand Forks, ND-MN",50258.00
"Grand Island, NE",43859.00
"Grand Junction, CO",45405.00
"Grand Rapids-Kentwood, MI",49054.00
"Grants Pass, OR",41909.00
"Great Falls, MT",47889.00
"Greeley, CO",48035.00
"Green Bay, WI",51575.00
"Greensboro-High Point, NC",43437.00
"Greenville, NC",41841.00
"Greenville-Anderson, SC",44269.00
"Gulfport-Biloxi, MS",36827.00
"Hagerstown-Martinsburg, MD-WV",43824.00
"Hammond, LA",37713.00
"Hanford-Corcoran, CA",36961.00
"Harrisburg-Carlisle, PA",52209.00
"Harrisonburg, VA",40328.00
"Hartford-East Hartford-Middletown, CT",63446.00
"Hattiesburg, MS",38306.00
"Hickory-Lenoir-Morganton, NC",39527.00
"Hilton Head Island-Bluffton, SC",53610.00
"Hinesville, GA",34371.00
"Homosassa Springs, FL",38021.00
"Hot Springs, AR",39578.00
"Houma-Thibodaux, LA",42584.00
"Houston-The Woodlands-Sugar Land, TX",57154.00
"Huntington-Ashland, WV-KY-OH",40368.00
"Huntsville, AL",50199.00
"Idaho Falls, ID",46113.00
"Indianapolis-Carmel-Anderson, IN",54778.00
"Iowa City, IA",54803.00
"Ithaca, NY",45120.00
"Jackson, MI",39173.00
"Jackson, MS",43496.00
"Jackson, TN",40178.00
"Jacksonville, FL",50321.00
"Jacksonville, NC",46377.00
"Janesville-Beloit, WI",44295.00
"Jefferson City, MO",42199.00
"Johnson City, TN",40256.00
"Johnstown, PA",43445.00
"Jonesboro, AR",36515.00
"Joplin, MO",40320.00
"Kahului-Wailuku-Lahaina, HI",49157.00
"Kalamazoo-Portage, MI",48279.00
"Kankakee, IL",41387.00
"Kansas City, MO-KS",53484.00
"Kennewick-Richland, WA",44548.00
"Killeen-Temple, TX",41661.00
"Kingsport-Bristol, TN-VA",40195.00
"Kingston, NY",50590.00
"Knoxville, TN",46360.00
"Kokomo, IN",42140.00
"La Crosse-Onalaska, WI-MN",50445.00
"Lafayette, LA",43518.00
"Lafayette-West Lafayette, IN",39645.00
"Lake Charles, LA",48547.00
"Lake Havasu City-Kingman, AZ",33354.00
"Lakeland-Winter Haven, FL",35789.00
"Lancaster, PA",52591.00
"Lansing-East Lansing, MI",41202.00
"Laredo, TX",31491.00
"Las Cruces, NM",36192.00
"Las Vegas-Henderson-Paradise, NV",47759.00
"Lawrence, KS",43939.00
"Lawton, OK",40845.00
"Lebanon, PA",47557.00
"Lewiston, ID-WA",46235.00
"Lewiston-Auburn, ME",41375.00
"Lexington-Fayette, KY",48023.00
"Lima, OH",42575.00
"Lincoln, NE",49548.00
"Little Rock-North Little Rock-Conway, AR",45070.00
"Logan, UT-ID",39861.00
"Longview, TX",41805.00
"Longview, WA",44923.00
"Los Angeles-Long Beach-Anaheim, CA",63886.00
"Louisville/Jefferson County, KY-IN",50437.00
"Lubbock, TX",42854.00
"Lynchburg, VA",40394.00
"Macon-Bibb County, GA",40967.00
"Madera, CA",39094.00
"Madison, WI",59591.00
"Manchester-Nashua, NH",61111.00
"Manhattan, KS",45181.00
"Mankato, MN",46614.00
"Mansfield, OH",39393.00
"McAllen-Edinburg-Mission, TX",26615.00
"Medford, OR",46661.00
"Memphis, TN-MS-AR",46677.00
"Merced, CA",39018.00
"Miami-Fort Lauderdale-Pompano Beach, FL",59151.00
"Michigan City-La Porte, IN",42363.00
"Midland, MI",54371.00
"Midland, TX",127283.00
"Milwaukee-Waukesha, WI",57034.00
"Minneapolis-St. Paul-Bloomington, MN-WI",62914.00
"Missoula, MT",49798.00
"Mobile, AL",38709.00
"Modesto, CA",43631.00
"Monroe, LA",40812.00
"Monroe, MI",46881.00
"Montgomery, AL",43365.00
"Morgantown, WV",43231.00
"Morristown, TN",36425.00
"Mount Vernon-Anacortes, WA",52072.00
"Muncie, IN",36942.00
"Muskegon, MI",38289.00
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",39355.00
"Napa, CA",72043.00
"Naples-Marco Island, FL",98303.00
"Nashville-Davidson--Murfreesboro--Franklin, TN",58779.00
"New Bern, NC",43517.00
"New Haven-Milford, CT",55779.00
"New Orleans-Metairie, LA",52963.00
"New York-Newark-Jersey City, NY-NJ-PA",76565.00
"Niles, MI",47461.00
"North Port-Sarasota-Bradenton, FL",57104.00
"Norwich-New London, CT",57912.00
"Ocala, FL",37219.00
"Ocean City, NJ",60264.00
"Odessa, TX",48449.00
"Ogden-Clearfield, UT",44096.00
"Oklahoma City, OK",47607.00
"Olympia-Lacey-Tumwater, WA",50469.00
"Omaha-Council Bluffs, NE-IA",57374.00
"Orlando-Kissimmee-Sanford, FL",43717.00
"Oshkosh-Neenah, WI",47974.00
"Owensboro, KY",41075.00
"Oxnard-Thousand Oaks-Ventura, CA",61900.00
"Palm Bay-Melbourne-Titusville, FL",45959.00
"Panama City, FL",43188.00
"Parkersburg-Vienna, WV",43265.00
"Pensacola-Ferry Pass-Brent, FL",43471.00
"Peoria, IL",48408.00
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",64228.00
"Phoenix-Mesa-Chandler, AZ",46539.00
"Pine Bluff, AR",34365.00
"Pittsburgh, PA",58206.00
"Pittsfield, MA",56651.00
"Pocatello, ID",38310.00
"Portland-South Portland, ME",57913.00
"Portland-Vancouver-Hillsboro, OR-WA",57903.00
"Port St. Lucie, FL",54373.00
"Poughkeepsie-Newburgh-Middletown, NY",53329.00
"Prescott Valley-Prescott, AZ",40435.00
"Providence-Warwick, RI-MA",54230.00
"Provo-Orem, UT",41212.00
"Pueblo, CO",39293.00
"Punta Gorda, FL",41795.00
"Racine, WI",49710.00
"Raleigh-Cary, NC",56207.00
"Rapid City, SD",50137.00
"Reading, PA",49439.00
"Redding, CA",46589.00
"Reno, NV",61900.00
"Richmond, VA",57124.00
"Riverside-San Bernardino-Ontario, CA",40382.00
"Roanoke, VA",47092.00
"Rochester, MN",54918.00
"Rochester, NY",51115.00
"Rockford, IL",44029.00
"Rocky Mount, NC",39917.00
"Rome, GA",38382.00
"Sacramento-Roseville-Folsom, CA",56502.00
"Saginaw, MI",39521.00
"St. Cloud, MN",46240.00
"St. George, UT",40053.00
"St. Joseph, MO-KS",38418.00
"St. Louis, MO-IL",55277.00
"Salem, OR",43030.00
"Salinas, CA",56634.00
"Salisbury, MD-DE",48594.00
"Salt Lake City, UT",52150.00
"San Angelo, TX",47875.00
"San Antonio-New Braunfels, TX",47349.00
"San Diego-Chula Vista-Carlsbad, CA",61147.00
"San Francisco-Oakland-Berkeley, CA",100236.00
"San Jose-Sunnyvale-Santa Clara, CA",108565.00
"San Luis Obispo-Paso Robles, CA",58108.00
"Santa Cruz-Watsonville, CA",68277.00
"Santa Fe, NM",58696.00
"Santa Maria-Santa Barbara, CA",63314.00
"Santa Rosa-Petaluma, CA",63397.00
"Savannah, GA",47038.00
"Scranton--Wilkes-Barre, PA",45993.00
"Seattle-Tacoma-Bellevue, WA",74815.00
"Sebastian-Vero Beach, FL",79353.00
"Sebring-Avon Park, FL",33548.00
"Sheboygan, WI",53263.00
"Sherman-Denison, TX",42480.00
"Shreveport-Bossier City, LA",47002.00
"Sierra Vista-Douglas, AZ",39911.00
"Sioux City, IA-NE-SD",51212.00
"Sioux Falls, SD",60237.00
"South Bend-Mishawaka, IN-MI",47300.00
"Spartanburg, SC",43055.00
"Spokane-Spokane Valley, WA",46304.00
"Springfield, IL",47955.00
"Springfield, MA",52317.00
"Springfield, MO",41243.00
"Springfield, OH",40563.00
"State College, PA",45866.00
"Staunton, VA",44336.00
"Stockton, CA",44697.00
"Sumter, SC",37335.00
"Syracuse, NY",49954.00
"Tallahassee, FL",43009.00
"Tampa-St. Petersburg-Clearwater, FL",47332.00
"Terre Haute, IN",37600.00
"Texarkana, TX-AR",37747.00
"The Villages, FL",47364.00
"Toledo, OH",46919.00
"Topeka, KS",46229.00
"Trenton-Princeton, NJ",69080.00
"Tucson, AZ",44015.00
"Tulsa, OK",54875.00
"Tuscaloosa, AL",38429.00
"Twin Falls, ID",39937.00
"Tyler, TX",55281.00
"Urban Honolulu, HI",59324.00
"Utica-Rome, NY",43984.00
"Valdosta, GA",36438.00
"Vallejo, CA",50756.00
"Victoria, TX",46748.00
"Vineland-Bridgeton, NJ",39587.00
"Virginia Beach-Norfolk-Newport News, VA-NC",50355.00
"Visalia, CA",40206.00
"Waco, TX",40990.00
"Walla Walla, WA",46429.00
"Warner Robins, GA",41896.00
"Washington-Arlington-Alexandria, DC-VA-MD-WV",72340.00
"Waterloo-Cedar Falls, IA",46499.00
"Watertown-Fort Drum, NY",46800.00
"Wausau-Weston, WI",49684.00
"Weirton-Steubenville, WV-OH",40634.00
"Wenatchee, WA",49575.00
"Wheeling, WV-OH",49171.00
"Wichita, KS",50391.00
"Wichita Falls, TX",43256.00
"Williamsport, PA",43571.00
"Wilmington, NC",44618.00
"Winchester, VA-WV",48100.00
"Winston-Salem, NC",44502.00
"Worcester, MA-CT",55181.00
"Yakima, WA",43905.00
"York-Hanover, PA",49888.00
"Youngstown-Warren-Boardman, OH-PA",42255.00
"Yuba City, CA",43662.00
"Yuma, AZ",35012.00
